,NVDA,,AMZN,,AMD,,CRM
Date,Close,Date,Close,Date,Close,Date,Close
10/15/2015 16:00:00,27.43,10/15/2015 16:00:00,562.44,10/15/2015 16:00:00,1.97,10/15/2015 16:00:00,77.7
10/16/2015 16:00:00,27.86,10/16/2015 16:00:00,570.76,10/16/2015 16:00:00,1.94,10/16/2015 16:00:00,78.77
10/19/2015 16:00:00,27.81,10/19/2015 16:00:00,573.15,10/19/2015 16:00:00,2.01,10/19/2015 16:00:00,77.93
10/20/2015 16:00:00,27.77,10/20/2015 16:00:00,560.88,10/20/2015 16:00:00,2.02,10/20/2015 16:00:00,77.53
10/21/2015 16:00:00,27.41,10/21/2015 16:00:00,555.77,10/21/2015 16:00:00,2.1,10/21/2015 16:00:00,75.83
10/22/2015 16:00:00,28.4,10/22/2015 16:00:00,563.91,10/22/2015 16:00:00,2.14,10/22/2015 16:00:00,77.37
10/23/2015 16:00:00,28.59,10/23/2015 16:00:00,599.03,10/23/2015 16:00:00,2.21,10/23/2015 16:00:00,78.56
10/26/2015 16:00:00,28.46,10/26/2015 16:00:00,608.61,10/26/2015 16:00:00,2.15,10/26/2015 16:00:00,78.22
10/27/2015 16:00:00,28.44,10/27/2015 16:00:00,611.01,10/27/2015 16:00:00,2.15,10/27/2015 16:00:00,77.75
10/28/2015 16:00:00,28.67,10/28/2015 16:00:00,617.1,10/28/2015 16:00:00,2.18,10/28/2015 16:00:00,78.53
10/29/2015 16:00:00,27.68,10/29/2015 16:00:00,626.55,10/29/2015 16:00:00,2.13,10/29/2015 16:00:00,78.14
10/30/2015 16:00:00,28.37,10/30/2015 16:00:00,625.9,10/30/2015 16:00:00,2.12,10/30/2015 16:00:00,77.71
11/2/2015 16:00:00,28.7,11/2/2015 16:00:00,628.35,11/2/2015 16:00:00,2.19,11/2/2015 16:00:00,79.2
11/3/2015 16:00:00,28.5,11/3/2015 16:00:00,625.31,11/3/2015 16:00:00,2.28,11/3/2015 16:00:00,78.63
11/4/2015 16:00:00,28.03,11/4/2015 16:00:00,640.95,11/4/2015 16:00:00,2.2,11/4/2015 16:00:00,78.39
11/5/2015 16:00:00,27.71,11/5/2015 16:00:00,655.65,11/5/2015 16:00:00,2.2,11/5/2015 16:00:00,78.71
11/6/2015 16:00:00,31.55,11/6/2015 16:00:00,659.37,11/6/2015 16:00:00,2.15,11/6/2015 16:00:00,79.41
11/9/2015 16:00:00,31.41,11/9/2015 16:00:00,655.49,11/9/2015 16:00:00,2.11,11/9/2015 16:00:00,78.22
11/10/2015 16:00:00,30.81,11/10/2015 16:00:00,659.68,11/10/2015 16:00:00,2.02,11/10/2015 16:00:00,78.25
11/11/2015 16:00:00,30.51,11/11/2015 16:00:00,673.25,11/11/2015 16:00:00,2.07,11/11/2015 16:00:00,78.71
11/12/2015 16:00:00,30.4,11/12/2015 16:00:00,665.6,11/12/2015 16:00:00,2,11/12/2015 16:00:00,78.3
11/13/2015 16:00:00,29.8,11/13/2015 16:00:00,642.35,11/13/2015 16:00:00,1.99,11/13/2015 16:00:00,75.6
11/16/2015 16:00:00,30.4,11/16/2015 16:00:00,647.81,11/16/2015 16:00:00,1.99,11/16/2015 16:00:00,76.26
11/17/2015 16:00:00,30.4,11/17/2015 16:00:00,643.3,11/17/2015 16:00:00,1.98,11/17/2015 16:00:00,77.24
11/18/2015 16:00:00,31.03,11/18/2015 16:00:00,663.54,11/18/2015 16:00:00,2.12,11/18/2015 16:00:00,77.35
11/19/2015 16:00:00,31.12,11/19/2015 16:00:00,661.27,11/19/2015 16:00:00,2.14,11/19/2015 16:00:00,80.64
11/20/2015 16:00:00,31.39,11/20/2015 16:00:00,668.45,11/20/2015 16:00:00,2.22,11/20/2015 16:00:00,80.99
11/23/2015 16:00:00,30.92,11/23/2015 16:00:00,678.99,11/23/2015 16:00:00,2.22,11/23/2015 16:00:00,80.78
11/24/2015 16:00:00,31.17,11/24/2015 16:00:00,671.15,11/24/2015 16:00:00,2.34,11/24/2015 16:00:00,80.39
11/25/2015 16:00:00,31.13,11/25/2015 16:00:00,675.34,11/25/2015 16:00:00,2.38,11/25/2015 16:00:00,80.41
11/27/2015 16:00:00,31.39,11/27/2015 16:00:00,673.26,11/27/2015 16:00:00,2.33,11/27/2015 16:00:00,79.97
11/30/2015 16:00:00,31.72,11/30/2015 16:00:00,664.8,11/30/2015 16:00:00,2.36,11/30/2015 16:00:00,79.69
12/1/2015 16:00:00,32.75,12/1/2015 16:00:00,679.06,12/1/2015 16:00:00,2.34,12/1/2015 16:00:00,81.01
12/2/2015 16:00:00,32.5,12/2/2015 16:00:00,676.01,12/2/2015 16:00:00,2.27,12/2/2015 16:00:00,80.88
12/3/2015 16:00:00,32.43,12/3/2015 16:00:00,666.25,12/3/2015 16:00:00,2.23,12/3/2015 16:00:00,79.93
12/4/2015 16:00:00,33.75,12/4/2015 16:00:00,672.64,12/4/2015 16:00:00,2.28,12/4/2015 16:00:00,82.14
12/7/2015 16:00:00,33.11,12/7/2015 16:00:00,669.83,12/7/2015 16:00:00,2.36,12/7/2015 16:00:00,80.68
12/8/2015 16:00:00,33.56,12/8/2015 16:00:00,677.33,12/8/2015 16:00:00,2.39,12/8/2015 16:00:00,81.08
12/9/2015 16:00:00,32.71,12/9/2015 16:00:00,664.79,12/9/2015 16:00:00,2.35,12/9/2015 16:00:00,79.71
12/10/2015 16:00:00,32.98,12/10/2015 16:00:00,662.32,12/10/2015 16:00:00,2.45,12/10/2015 16:00:00,79.38
12/11/2015 16:00:00,32.49,12/11/2015 16:00:00,640.15,12/11/2015 16:00:00,2.36,12/11/2015 16:00:00,76.87
12/14/2015 16:00:00,32.57,12/14/2015 16:00:00,657.91,12/14/2015 16:00:00,2.34,12/14/2015 16:00:00,76.99
12/15/2015 16:00:00,32.97,12/15/2015 16:00:00,658.64,12/15/2015 16:00:00,2.36,12/15/2015 16:00:00,77.37
12/16/2015 16:00:00,33.17,12/16/2015 16:00:00,675.77,12/16/2015 16:00:00,2.54,12/16/2015 16:00:00,78.89
12/17/2015 16:00:00,32.67,12/17/2015 16:00:00,670.65,12/17/2015 16:00:00,2.56,12/17/2015 16:00:00,78.43
12/18/2015 16:00:00,32.14,12/18/2015 16:00:00,664.14,12/18/2015 16:00:00,2.45,12/18/2015 16:00:00,77.03
12/21/2015 16:00:00,32.9,12/21/2015 16:00:00,664.51,12/21/2015 16:00:00,2.53,12/21/2015 16:00:00,77.29
12/22/2015 16:00:00,32.93,12/22/2015 16:00:00,663.15,12/22/2015 16:00:00,2.77,12/22/2015 16:00:00,77.86
12/23/2015 16:00:00,33.06,12/23/2015 16:00:00,663.7,12/23/2015 16:00:00,2.83,12/23/2015 16:00:00,78.04
12/24/2015 16:00:00,33.17,12/24/2015 16:00:00,662.79,12/24/2015 16:00:00,2.92,12/24/2015 16:00:00,77.83
12/28/2015 16:00:00,33.14,12/28/2015 16:00:00,675.2,12/28/2015 16:00:00,3,12/28/2015 16:00:00,78.2
12/29/2015 16:00:00,33.68,12/29/2015 16:00:00,693.97,12/29/2015 16:00:00,3,12/29/2015 16:00:00,79.44
12/30/2015 16:00:00,33.39,12/30/2015 16:00:00,689.07,12/30/2015 16:00:00,2.98,12/30/2015 16:00:00,79.14
12/31/2015 16:00:00,32.96,12/31/2015 16:00:00,675.89,12/31/2015 16:00:00,2.87,12/31/2015 16:00:00,78.4
1/4/2016 16:00:00,32.37,1/4/2016 16:00:00,636.99,1/4/2016 16:00:00,2.77,1/4/2016 16:00:00,76.71
1/5/2016 16:00:00,32.89,1/5/2016 16:00:00,633.79,1/5/2016 16:00:00,2.75,1/5/2016 16:00:00,77.05
1/6/2016 16:00:00,31.53,1/6/2016 16:00:00,632.65,1/6/2016 16:00:00,2.51,1/6/2016 16:00:00,76.29
1/7/2016 16:00:00,30.28,1/7/2016 16:00:00,607.94,1/7/2016 16:00:00,2.28,1/7/2016 16:00:00,74.3
1/8/2016 16:00:00,29.63,1/8/2016 16:00:00,607.05,1/8/2016 16:00:00,2.14,1/8/2016 16:00:00,73.23
1/11/2016 16:00:00,29.68,1/11/2016 16:00:00,617.74,1/11/2016 16:00:00,2.34,1/11/2016 16:00:00,73.18
1/12/2016 16:00:00,30.18,1/12/2016 16:00:00,617.89,1/12/2016 16:00:00,2.39,1/12/2016 16:00:00,74.46
1/13/2016 16:00:00,29.26,1/13/2016 16:00:00,581.81,1/13/2016 16:00:00,2.25,1/13/2016 16:00:00,72.35
1/14/2016 16:00:00,28.67,1/14/2016 16:00:00,593,1/14/2016 16:00:00,2.21,1/14/2016 16:00:00,73.07
1/15/2016 16:00:00,27.11,1/15/2016 16:00:00,570.18,1/15/2016 16:00:00,2.03,1/15/2016 16:00:00,70.86
1/19/2016 16:00:00,27.33,1/19/2016 16:00:00,574.48,1/19/2016 16:00:00,1.95,1/19/2016 16:00:00,70.8
1/20/2016 16:00:00,27.48,1/20/2016 16:00:00,571.77,1/20/2016 16:00:00,1.8,1/20/2016 16:00:00,70.33
1/21/2016 16:00:00,27.8,1/21/2016 16:00:00,575.02,1/21/2016 16:00:00,2.09,1/21/2016 16:00:00,69.51
1/22/2016 16:00:00,28.45,1/22/2016 16:00:00,596.38,1/22/2016 16:00:00,2.02,1/22/2016 16:00:00,71.55
1/25/2016 16:00:00,28.42,1/25/2016 16:00:00,596.53,1/25/2016 16:00:00,2.12,1/25/2016 16:00:00,69.92
1/26/2016 16:00:00,28.7,1/26/2016 16:00:00,601.25,1/26/2016 16:00:00,2.07,1/26/2016 16:00:00,69.87
1/27/2016 16:00:00,28.36,1/27/2016 16:00:00,583.35,1/27/2016 16:00:00,2.13,1/27/2016 16:00:00,67.43
1/28/2016 16:00:00,28.05,1/28/2016 16:00:00,635.35,1/28/2016 16:00:00,2.08,1/28/2016 16:00:00,65.69
1/29/2016 16:00:00,29.29,1/29/2016 16:00:00,587,1/29/2016 16:00:00,2.2,1/29/2016 16:00:00,68.06
2/1/2016 16:00:00,29.3,2/1/2016 16:00:00,574.81,2/1/2016 16:00:00,2.14,2/1/2016 16:00:00,68.44
2/2/2016 16:00:00,28.06,2/2/2016 16:00:00,552.1,2/2/2016 16:00:00,1.99,2/2/2016 16:00:00,64.52
2/3/2016 16:00:00,28.2,2/3/2016 16:00:00,531.07,2/3/2016 16:00:00,2.07,2/3/2016 16:00:00,65.34
2/4/2016 16:00:00,28.21,2/4/2016 16:00:00,536.26,2/4/2016 16:00:00,2.09,2/4/2016 16:00:00,67.2
2/5/2016 16:00:00,26.43,2/5/2016 16:00:00,502.13,2/5/2016 16:00:00,1.98,2/5/2016 16:00:00,58.51
2/8/2016 16:00:00,25.22,2/8/2016 16:00:00,488.1,2/8/2016 16:00:00,1.93,2/8/2016 16:00:00,54.05
2/9/2016 16:00:00,25.49,2/9/2016 16:00:00,482.07,2/9/2016 16:00:00,1.9,2/9/2016 16:00:00,57.33
2/10/2016 16:00:00,25.43,2/10/2016 16:00:00,490.48,2/10/2016 16:00:00,1.84,2/10/2016 16:00:00,58.76
2/11/2016 16:00:00,25.3,2/11/2016 16:00:00,503.82,2/11/2016 16:00:00,1.86,2/11/2016 16:00:00,59.24
2/12/2016 16:00:00,25.73,2/12/2016 16:00:00,507.08,2/12/2016 16:00:00,1.83,2/12/2016 16:00:00,59.68
2/16/2016 16:00:00,26.99,2/16/2016 16:00:00,521.1,2/16/2016 16:00:00,1.83,2/16/2016 16:00:00,59.72
2/17/2016 16:00:00,27.66,2/17/2016 16:00:00,534.1,2/17/2016 16:00:00,1.9,2/17/2016 16:00:00,63.49
2/18/2016 16:00:00,30.04,2/18/2016 16:00:00,525,2/18/2016 16:00:00,1.91,2/18/2016 16:00:00,61.7
2/19/2016 16:00:00,30.44,2/19/2016 16:00:00,534.9,2/19/2016 16:00:00,1.91,2/19/2016 16:00:00,62.14
2/22/2016 16:00:00,31.52,2/22/2016 16:00:00,559.5,2/22/2016 16:00:00,2.01,2/22/2016 16:00:00,63.98
2/23/2016 16:00:00,31.6,2/23/2016 16:00:00,552.94,2/23/2016 16:00:00,1.97,2/23/2016 16:00:00,62.9
2/24/2016 16:00:00,31.82,2/24/2016 16:00:00,554.04,2/24/2016 16:00:00,2.02,2/24/2016 16:00:00,62.52
2/25/2016 16:00:00,31.89,2/25/2016 16:00:00,555.15,2/25/2016 16:00:00,2.03,2/25/2016 16:00:00,69.42
2/26/2016 16:00:00,31.68,2/26/2016 16:00:00,555.23,2/26/2016 16:00:00,2.07,2/26/2016 16:00:00,69.72
2/29/2016 16:00:00,31.36,2/29/2016 16:00:00,552.52,2/29/2016 16:00:00,2.14,2/29/2016 16:00:00,67.75
3/1/2016 16:00:00,32.75,3/1/2016 16:00:00,579.04,3/1/2016 16:00:00,2.18,3/1/2016 16:00:00,70.02
3/2/2016 16:00:00,32.94,3/2/2016 16:00:00,580.21,3/2/2016 16:00:00,2.32,3/2/2016 16:00:00,70.43
3/3/2016 16:00:00,32.65,3/3/2016 16:00:00,577.49,3/3/2016 16:00:00,2.46,3/3/2016 16:00:00,70.8
3/4/2016 16:00:00,32.55,3/4/2016 16:00:00,575.14,3/4/2016 16:00:00,2.37,3/4/2016 16:00:00,71.06
3/7/2016 16:00:00,32.34,3/7/2016 16:00:00,562.8,3/7/2016 16:00:00,2.47,3/7/2016 16:00:00,70.49
3/8/2016 16:00:00,31.75,3/8/2016 16:00:00,560.26,3/8/2016 16:00:00,2.3,3/8/2016 16:00:00,69.82
3/9/2016 16:00:00,31.73,3/9/2016 16:00:00,559.47,3/9/2016 16:00:00,2.26,3/9/2016 16:00:00,71.04
3/10/2016 16:00:00,31.68,3/10/2016 16:00:00,558.93,3/10/2016 16:00:00,2.26,3/10/2016 16:00:00,70.7
3/11/2016 16:00:00,32.22,3/11/2016 16:00:00,569.61,3/11/2016 16:00:00,2.52,3/11/2016 16:00:00,71.63
3/14/2016 16:00:00,32.3,3/14/2016 16:00:00,573.37,3/14/2016 16:00:00,2.72,3/14/2016 16:00:00,72.22
3/15/2016 16:00:00,32.14,3/15/2016 16:00:00,577.02,3/15/2016 16:00:00,2.49,3/15/2016 16:00:00,71.7
3/16/2016 16:00:00,33.1,3/16/2016 16:00:00,574.27,3/16/2016 16:00:00,2.63,3/16/2016 16:00:00,72.73
3/17/2016 16:00:00,32.82,3/17/2016 16:00:00,559.44,3/17/2016 16:00:00,2.8,3/17/2016 16:00:00,72.72
3/18/2016 16:00:00,33.81,3/18/2016 16:00:00,552.08,3/18/2016 16:00:00,2.93,3/18/2016 16:00:00,72.65
3/21/2016 16:00:00,33.91,3/21/2016 16:00:00,553.98,3/21/2016 16:00:00,2.8,3/21/2016 16:00:00,72.25
3/22/2016 16:00:00,33.85,3/22/2016 16:00:00,560.48,3/22/2016 16:00:00,2.79,3/22/2016 16:00:00,72.85
3/23/2016 16:00:00,34.43,3/23/2016 16:00:00,569.63,3/23/2016 16:00:00,2.68,3/23/2016 16:00:00,71.78
3/24/2016 16:00:00,34.48,3/24/2016 16:00:00,582.95,3/24/2016 16:00:00,2.79,3/24/2016 16:00:00,72.44
3/28/2016 16:00:00,34.83,3/28/2016 16:00:00,579.87,3/28/2016 16:00:00,2.78,3/28/2016 16:00:00,71.95
3/29/2016 16:00:00,35.39,3/29/2016 16:00:00,593.86,3/29/2016 16:00:00,2.86,3/29/2016 16:00:00,72.3
3/30/2016 16:00:00,35.76,3/30/2016 16:00:00,598.69,3/30/2016 16:00:00,2.86,3/30/2016 16:00:00,74.3
3/31/2016 16:00:00,35.63,3/31/2016 16:00:00,593.64,3/31/2016 16:00:00,2.85,3/31/2016 16:00:00,73.83
4/1/2016 16:00:00,36.15,4/1/2016 16:00:00,598.5,4/1/2016 16:00:00,2.83,4/1/2016 16:00:00,75.73
4/4/2016 16:00:00,35.8,4/4/2016 16:00:00,593.19,4/4/2016 16:00:00,2.83,4/4/2016 16:00:00,75.69
4/5/2016 16:00:00,35.75,4/5/2016 16:00:00,586.14,4/5/2016 16:00:00,2.76,4/5/2016 16:00:00,74.58
4/6/2016 16:00:00,35.8,4/6/2016 16:00:00,602.08,4/6/2016 16:00:00,2.8,4/6/2016 16:00:00,75.58
4/7/2016 16:00:00,35.43,4/7/2016 16:00:00,591.43,4/7/2016 16:00:00,2.64,4/7/2016 16:00:00,75.32
4/8/2016 16:00:00,35.66,4/8/2016 16:00:00,594.6,4/8/2016 16:00:00,2.74,4/8/2016 16:00:00,74.85
4/11/2016 16:00:00,35.88,4/11/2016 16:00:00,595.93,4/11/2016 16:00:00,2.76,4/11/2016 16:00:00,74.16
4/12/2016 16:00:00,35.84,4/12/2016 16:00:00,603.17,4/12/2016 16:00:00,2.81,4/12/2016 16:00:00,74.27
4/13/2016 16:00:00,36.74,4/13/2016 16:00:00,614.82,4/13/2016 16:00:00,2.8,4/13/2016 16:00:00,75.95
4/14/2016 16:00:00,36.84,4/14/2016 16:00:00,620.75,4/14/2016 16:00:00,2.72,4/14/2016 16:00:00,76.15
4/15/2016 16:00:00,37.13,4/15/2016 16:00:00,625.89,4/15/2016 16:00:00,2.7,4/15/2016 16:00:00,76.31
4/18/2016 16:00:00,36.97,4/18/2016 16:00:00,635.35,4/18/2016 16:00:00,2.76,4/18/2016 16:00:00,77.27
4/19/2016 16:00:00,36.31,4/19/2016 16:00:00,627.9,4/19/2016 16:00:00,2.62,4/19/2016 16:00:00,76.19
4/20/2016 16:00:00,36.45,4/20/2016 16:00:00,632.99,4/20/2016 16:00:00,2.7,4/20/2016 16:00:00,76.14
4/21/2016 16:00:00,36.41,4/21/2016 16:00:00,631,4/21/2016 16:00:00,2.62,4/21/2016 16:00:00,77.15
4/22/2016 16:00:00,36.27,4/22/2016 16:00:00,620.5,4/22/2016 16:00:00,3.99,4/22/2016 16:00:00,76.48
4/25/2016 16:00:00,36.45,4/25/2016 16:00:00,626.2,4/25/2016 16:00:00,3.45,4/25/2016 16:00:00,76.51
4/26/2016 16:00:00,36.48,4/26/2016 16:00:00,616.88,4/26/2016 16:00:00,3.66,4/26/2016 16:00:00,76.21
4/27/2016 16:00:00,37.31,4/27/2016 16:00:00,606.57,4/27/2016 16:00:00,3.73,4/27/2016 16:00:00,75.69
4/28/2016 16:00:00,36.2,4/28/2016 16:00:00,602,4/28/2016 16:00:00,3.61,4/28/2016 16:00:00,75.38
4/29/2016 16:00:00,35.53,4/29/2016 16:00:00,659.59,4/29/2016 16:00:00,3.55,4/29/2016 16:00:00,75.8
5/2/2016 16:00:00,36,5/2/2016 16:00:00,683.85,5/2/2016 16:00:00,3.74,5/2/2016 16:00:00,77.25
5/3/2016 16:00:00,35.57,5/3/2016 16:00:00,671.32,5/3/2016 16:00:00,3.6,5/3/2016 16:00:00,74.9
5/4/2016 16:00:00,34.76,5/4/2016 16:00:00,670.9,5/4/2016 16:00:00,3.6,5/4/2016 16:00:00,73.99
5/5/2016 16:00:00,34.97,5/5/2016 16:00:00,659.09,5/5/2016 16:00:00,3.66,5/5/2016 16:00:00,73.81
5/6/2016 16:00:00,35.33,5/6/2016 16:00:00,673.95,5/6/2016 16:00:00,3.68,5/6/2016 16:00:00,74.25
5/9/2016 16:00:00,35.28,5/9/2016 16:00:00,679.75,5/9/2016 16:00:00,3.65,5/9/2016 16:00:00,74.62
5/10/2016 16:00:00,35.96,5/10/2016 16:00:00,703.07,5/10/2016 16:00:00,3.64,5/10/2016 16:00:00,75.92
5/11/2016 16:00:00,36.06,5/11/2016 16:00:00,713.23,5/11/2016 16:00:00,3.65,5/11/2016 16:00:00,75.79
5/12/2016 16:00:00,35.57,5/12/2016 16:00:00,717.93,5/12/2016 16:00:00,3.59,5/12/2016 16:00:00,75.89
5/13/2016 16:00:00,40.98,5/13/2016 16:00:00,709.92,5/13/2016 16:00:00,3.67,5/13/2016 16:00:00,76.37
5/16/2016 16:00:00,42.19,5/16/2016 16:00:00,710.66,5/16/2016 16:00:00,3.79,5/16/2016 16:00:00,77.31
5/17/2016 16:00:00,42.28,5/17/2016 16:00:00,695.27,5/17/2016 16:00:00,3.79,5/17/2016 16:00:00,76.77
5/18/2016 16:00:00,43.36,5/18/2016 16:00:00,697.45,5/18/2016 16:00:00,3.84,5/18/2016 16:00:00,77.87
5/19/2016 16:00:00,43.55,5/19/2016 16:00:00,698.52,5/19/2016 16:00:00,3.77,5/19/2016 16:00:00,81.09
5/20/2016 16:00:00,44.33,5/20/2016 16:00:00,702.8,5/20/2016 16:00:00,3.87,5/20/2016 16:00:00,81.02
5/23/2016 16:00:00,44.4,5/23/2016 16:00:00,696.75,5/23/2016 16:00:00,4.04,5/23/2016 16:00:00,81.73
5/24/2016 16:00:00,45.36,5/24/2016 16:00:00,704.2,5/24/2016 16:00:00,4.2,5/24/2016 16:00:00,82.75
5/25/2016 16:00:00,45.17,5/25/2016 16:00:00,708.35,5/25/2016 16:00:00,4.18,5/25/2016 16:00:00,83.57
5/26/2016 16:00:00,45.65,5/26/2016 16:00:00,714.91,5/26/2016 16:00:00,4.35,5/26/2016 16:00:00,83.35
5/27/2016 16:00:00,45.9,5/27/2016 16:00:00,712.24,5/27/2016 16:00:00,4.6,5/27/2016 16:00:00,83.77
5/31/2016 16:00:00,46.72,5/31/2016 16:00:00,722.79,5/31/2016 16:00:00,4.57,5/31/2016 16:00:00,83.71
6/1/2016 16:00:00,46.81,6/1/2016 16:00:00,719.44,6/1/2016 16:00:00,4.43,6/1/2016 16:00:00,83.45
6/2/2016 16:00:00,47.14,6/2/2016 16:00:00,728.24,6/2/2016 16:00:00,4.24,6/2/2016 16:00:00,83.24
6/3/2016 16:00:00,46.48,6/3/2016 16:00:00,725.54,6/3/2016 16:00:00,4.16,6/3/2016 16:00:00,82.55
6/6/2016 16:00:00,46.24,6/6/2016 16:00:00,726.73,6/6/2016 16:00:00,4.47,6/6/2016 16:00:00,82.83
6/7/2016 16:00:00,46.33,6/7/2016 16:00:00,723.74,6/7/2016 16:00:00,4.51,6/7/2016 16:00:00,83.14
6/8/2016 16:00:00,46.18,6/8/2016 16:00:00,726.64,6/8/2016 16:00:00,4.46,6/8/2016 16:00:00,83.35
6/9/2016 16:00:00,47.38,6/9/2016 16:00:00,727.65,6/9/2016 16:00:00,4.52,6/9/2016 16:00:00,82.73
6/10/2016 16:00:00,46.2,6/10/2016 16:00:00,717.91,6/10/2016 16:00:00,4.32,6/10/2016 16:00:00,81.83
6/13/2016 16:00:00,46.79,6/13/2016 16:00:00,715.24,6/13/2016 16:00:00,4.4,6/13/2016 16:00:00,81.49
6/14/2016 16:00:00,46.88,6/14/2016 16:00:00,719.3,6/14/2016 16:00:00,4.39,6/14/2016 16:00:00,81.09
6/15/2016 16:00:00,47.36,6/15/2016 16:00:00,714.26,6/15/2016 16:00:00,4.42,6/15/2016 16:00:00,81.99
6/16/2016 16:00:00,47.55,6/16/2016 16:00:00,717.51,6/16/2016 16:00:00,4.75,6/16/2016 16:00:00,81.64
6/17/2016 16:00:00,46.72,6/17/2016 16:00:00,706.39,6/17/2016 16:00:00,5.26,6/17/2016 16:00:00,80.5
6/20/2016 16:00:00,47.56,6/20/2016 16:00:00,714.01,6/20/2016 16:00:00,5.1,6/20/2016 16:00:00,81.22
6/21/2016 16:00:00,47.27,6/21/2016 16:00:00,715.82,6/21/2016 16:00:00,5.45,6/21/2016 16:00:00,81.63
6/22/2016 16:00:00,47.23,6/22/2016 16:00:00,710.6,6/22/2016 16:00:00,5.02,6/22/2016 16:00:00,80.62
6/23/2016 16:00:00,48.49,6/23/2016 16:00:00,722.08,6/23/2016 16:00:00,5.21,6/23/2016 16:00:00,82.28
6/24/2016 16:00:00,45.73,6/24/2016 16:00:00,698.96,6/24/2016 16:00:00,4.88,6/24/2016 16:00:00,78.46
6/27/2016 16:00:00,45.24,6/27/2016 16:00:00,691.36,6/27/2016 16:00:00,4.72,6/27/2016 16:00:00,76.07
6/28/2016 16:00:00,45.9,6/28/2016 16:00:00,707.95,6/28/2016 16:00:00,5.12,6/28/2016 16:00:00,77.55
6/29/2016 16:00:00,46.65,6/29/2016 16:00:00,715.6,6/29/2016 16:00:00,5.13,6/29/2016 16:00:00,79
6/30/2016 16:00:00,47.01,6/30/2016 16:00:00,715.62,6/30/2016 16:00:00,5.14,6/30/2016 16:00:00,79.41
7/1/2016 16:00:00,46.66,7/1/2016 16:00:00,725.68,7/1/2016 16:00:00,5.07,7/1/2016 16:00:00,79.83
7/5/2016 16:00:00,47.35,7/5/2016 16:00:00,728.1,7/5/2016 16:00:00,4.96,7/5/2016 16:00:00,78.67
7/6/2016 16:00:00,47.65,7/6/2016 16:00:00,737.61,7/6/2016 16:00:00,5.04,7/6/2016 16:00:00,78.5
7/7/2016 16:00:00,48.89,7/7/2016 16:00:00,736.57,7/7/2016 16:00:00,5.02,7/7/2016 16:00:00,78.76
7/8/2016 16:00:00,50.85,7/8/2016 16:00:00,745.81,7/8/2016 16:00:00,5.1,7/8/2016 16:00:00,80.89
7/11/2016 16:00:00,52.02,7/11/2016 16:00:00,753.78,7/11/2016 16:00:00,5.01,7/11/2016 16:00:00,81.66
7/12/2016 16:00:00,52.8,7/12/2016 16:00:00,748.21,7/12/2016 16:00:00,5.14,7/12/2016 16:00:00,81.93
7/13/2016 16:00:00,52.78,7/13/2016 16:00:00,742.63,7/13/2016 16:00:00,5.09,7/13/2016 16:00:00,81.33
7/14/2016 16:00:00,53.32,7/14/2016 16:00:00,741.2,7/14/2016 16:00:00,5.17,7/14/2016 16:00:00,81.56
7/15/2016 16:00:00,52.7,7/15/2016 16:00:00,735.44,7/15/2016 16:00:00,5.14,7/15/2016 16:00:00,81.4
7/18/2016 16:00:00,52.97,7/18/2016 16:00:00,736.07,7/18/2016 16:00:00,5.51,7/18/2016 16:00:00,81.63
7/19/2016 16:00:00,53.52,7/19/2016 16:00:00,739.95,7/19/2016 16:00:00,5.41,7/19/2016 16:00:00,81.37
7/20/2016 16:00:00,54.22,7/20/2016 16:00:00,745.72,7/20/2016 16:00:00,5.41,7/20/2016 16:00:00,82.14
7/21/2016 16:00:00,53.22,7/21/2016 16:00:00,744.43,7/21/2016 16:00:00,5.22,7/21/2016 16:00:00,81.7
7/22/2016 16:00:00,54.67,7/22/2016 16:00:00,744.86,7/22/2016 16:00:00,5.84,7/22/2016 16:00:00,82.55
7/25/2016 16:00:00,55.68,7/25/2016 16:00:00,739.61,7/25/2016 16:00:00,6.7,7/25/2016 16:00:00,82.19
7/26/2016 16:00:00,56.63,7/26/2016 16:00:00,735.59,7/26/2016 16:00:00,6.98,7/26/2016 16:00:00,81.76
7/27/2016 16:00:00,56.06,7/27/2016 16:00:00,736.67,7/27/2016 16:00:00,6.85,7/27/2016 16:00:00,81.5
7/28/2016 16:00:00,56.18,7/28/2016 16:00:00,752.61,7/28/2016 16:00:00,6.82,7/28/2016 16:00:00,82.33
7/29/2016 16:00:00,57.1,7/29/2016 16:00:00,758.81,7/29/2016 16:00:00,6.86,7/29/2016 16:00:00,81.8
8/1/2016 16:00:00,56.73,8/1/2016 16:00:00,767.74,8/1/2016 16:00:00,6.64,8/1/2016 16:00:00,81.02
8/2/2016 16:00:00,56.04,8/2/2016 16:00:00,760.58,8/2/2016 16:00:00,6.26,8/2/2016 16:00:00,80.5
8/3/2016 16:00:00,56.19,8/3/2016 16:00:00,754.64,8/3/2016 16:00:00,6.3,8/3/2016 16:00:00,80.41
8/4/2016 16:00:00,57.23,8/4/2016 16:00:00,760.77,8/4/2016 16:00:00,6.47,8/4/2016 16:00:00,80.56
8/5/2016 16:00:00,58.2,8/5/2016 16:00:00,765.98,8/5/2016 16:00:00,6.61,8/5/2016 16:00:00,81.33
8/8/2016 16:00:00,58.74,8/8/2016 16:00:00,766.56,8/8/2016 16:00:00,6.68,8/8/2016 16:00:00,81.17
